0,11
1,20
2,27
3,27
4,27
5,31
6,32
7,32
8,33
9,35
10,35
11,35
12,35
13,35
14,36
15,37
16,40
17,39
18,39
19,39
20,39
21,39
22,39
23,39
24,39
25,39
26,39
27,39
28,39
29,41
30,44
31,44
32,44
33,44
34,44
35,44
36,44
37,44
38,44
39,44
40,45
41,49
42,49
43,52
44,52
45,57
46,57
47,57
48,57
49,57
50,57
51,57
52,57
53,58
54,61
55,63
56,65
57,65
58,65
59,65
60,65
61,66
62,70
63,70
64,73
65,78
66,78
67,78
68,78
69,78
70,78
71,78
72,78
73,78
74,79
75,83
76,84
77,86
78,86
79,86
80,86
81,89
82,91
83,91
84,91
85,94
86,94
87,94
88,94
89,94
90,95
91,99
92,99
93,99
94,99
95,100
